env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,mathqa,01H9P97DBRSR4D1WNY7N7AV4P4,,5.03,0.2429050279329609,1.6092954874038696,0.2156676707116957,0.2429050279329609,28.4318,4475,157.394,19.696,,01H9P97DBVJB92Z0M2QHBTW2YK,mathqa-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,mathqa,01H9P97G57H1R5SAK7VBFMYN6Y,,5.03,0.22033519553072625,1.6036630868911743,0.12104148530818022,0.22033519553072625,37.6869,4475,118.741,14.859,,01H9P97G59AF1JA72WTXW65VNK,mathqa-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,mathqa,01H9P97P4E2EE0HZB8SPSYVMV7,,5.03,0.22145251396648044,1.6032058000564575,0.14501065840749233,0.22145251396648044,39.0743,4475,114.525,14.332,,01H9P97P4H185JEY3VTVPDMTHR,mathqa-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,mathqa,01H9P97P4E2EE0HZB8SPSYVMV7,,,,,,,,,,,2023-09-06 23:59:21.048368 +0000 UTC,01H9P97P4H185JEY3VTVPDMTHR,mathqa-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,mathqa,01H9P97R12WAEE69DPABP505H3,,5.03,0.2198882681564246,1.6032559871673584,0.07210111742077303,0.2198882681564246,37.6019,4475,119.01,14.893,,01H9P97R14Z7YVK7BJSW51VCBR,mathqa-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,mathqa,01H9P97R12WAEE69DPABP505H3,,,,,,,,,,,2023-09-07 00:15:16.80519 +0000 UTC,01H9P97R14Z7YVK7BJSW51VCBR,mathqa-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,mathqa,01H9P97S29V3TECZ5AWGK4WA7W,,5.03,0.2198882681564246,1.6032836437225342,0.07210111742077303,0.2198882681564246,39.1521,4475,114.298,14.303,,01H9P97S2B9T83KXKGJN64BZE9,mathqa-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,1,mathqa,01H9P97W0PXZMRBWBJZTW4DNXN,,5.03,0.2201117318435754,1.6035321950912476,0.17170820737238196,0.2201117318435754,31.6486,4475,141.396,17.694,,01H9P97W0RT1KZ7F5X5Q604F6K,mathqa-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,1,mathqa,01H9P97YZF4WJF1Q35MJGZKEV9,,5.03,0.22078212290502794,1.6041449308395386,0.12356210204911411,0.22078212290502794,32.2866,4475,138.602,17.345,,01H9P97YZH82QC68JTS9P4C5PB,mathqa-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,mathqa,01H9P981YR9TKCD22B9NY9YXVR,,5.03,0.2201117318435754,1.6034080982208252,0.16440130595643088,0.2201117318435754,52.1667,4475,85.783,10.735,,01H9P981YTBK8VGDZBBP5E8511,mathqa-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,mathqa,01H9P987XA7H49NY3JE91ZB8R1,,5.03,0.2198882681564246,1.6032921075820923,0.07210111742077303,0.2198882681564246,63.2533,4475,70.747,8.853,,01H9P987XCHMX3S7MAER91HY7N,mathqa-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,mathqa,01H9P989SJK5WNPGYJ5SHSW3NJ,,5.03,0.2223463687150838,1.6033952236175537,0.1704124163852764,0.2223463687150838,36.6752,4475,122.017,15.269,,01H9P989SM9MX6P440H613SWT1,mathqa-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2306,1,mathqa,01H9P98AXJ6T7R06PQ1J5W1FV6,,5.03,0.22256983240223463,1.6050137281417847,0.09545008725336594,0.22256983240223463,44.9738,4475,99.502,12.452,,01H9P98AXMQTW45FGGDZ6S0HBF,mathqa-microsoft-deberta-v3-xsmall-lora_2306-lr_5e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,5e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3075,1,mathqa,01H9P98DSG2JP4AHBJ865TVY2Y,,5.03,0.2198882681564246,1.6091978549957275,0.07210111742077303,0.2198882681564246,47.6905,4475,93.834,11.742,,01H9P98DSK03840QY6JFKVCDM6,mathqa-microsoft-deberta-v3-xsmall-lora_3075-lr_5e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,mathqa,01H9P98GRDP1BQAQ0VMKH779B7,,5.03,0.2429050279329609,1.6092960834503174,0.2156676707116957,0.2429050279329609,29.3859,4475,152.284,19.057,,01H9P98GRFVFSFA8NJ5CG0BEVY,mathqa-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,f541f8197f98898a7eab8d3ff1969cf7128110fa,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,2,mathqa,01H9P98KQW2N44XBS5MJD01NKM,,5.03,0.22033519553072625,1.6036630868911743,0.12104148530818022,0.22033519553072625,39.0203,4475,114.684,14.352,,01H9P98KQY7ZK2F178XG9KPPS3,mathqa-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_2
