env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,metrics_predict_accuracy,metrics_predict_loss,metrics_predict_macro-f1,metrics_predict_micro-f1,metrics_predict_runtime,metrics_predict_samples,metrics_predict_samples_per_second,metrics_predict_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-4,LoRA,microsoft/deberta-v3-large,requirements.txt,3.9,8,1,qnli,01H7TSGM001Q80KPKX4TH1E7Y1,,,,,,,,,,,,,,,,,,,2023-08-14 20:47:05.055289 +0000 UTC,01H7TSGM02G5E19FPCZPY9F30C,qnli-microsoft-deberta-v3-large-lora_8-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-4,LoRA,microsoft/deberta-v3-large,requirements.txt,3.9,8,1,qnli,01H7TSGM001Q80KPKX4TH1E7Y1,,,,,,,,,,,,,,,,,,,2023-08-14 21:10:50.207999 +0000 UTC,01H7TSGM02G5E19FPCZPY9F30C,qnli-microsoft-deberta-v3-large-lora_8-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-4,LoRA,microsoft/deberta-v3-large,requirements.txt,3.9,8,1,qnli,01H7TSGM001Q80KPKX4TH1E7Y1,,,,,,,,,,,,,,,,,,,2023-08-14 21:24:39.867049 +0000 UTC,01H7TSGM02G5E19FPCZPY9F30C,qnli-microsoft-deberta-v3-large-lora_8-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-4,LoRA,microsoft/deberta-v3-large,requirements.txt,3.9,8,1,qnli,01H7TSGM001Q80KPKX4TH1E7Y1,,,,,,,,,,,,,,,,,,,2023-08-14 21:32:24.212897 +0000 UTC,01H7TSGM02G5E19FPCZPY9F30C,qnli-microsoft-deberta-v3-large-lora_8-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-4,LoRA,microsoft/deberta-v3-large,requirements.txt,3.9,8,1,qnli,01H7TSGM001Q80KPKX4TH1E7Y1,,,,,,,,,,,,,,,,,,,2023-08-15 00:06:42.815278 +0000 UTC,01H7TSGM02G5E19FPCZPY9F30C,qnli-microsoft-deberta-v3-large-lora_8-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-4,LoRA,microsoft/deberta-v3-large,requirements.txt,3.9,8,1,qnli,01H7TSGM001Q80KPKX4TH1E7Y1,,1.43,0.9531393007505033,0.15788894891738892,0.953134198716402,0.9531393007505033,117.9561,5463,46.314,2.899,0,0,0,0,117.9944,5463,46.299,2.898,,01H7TSGM02G5E19FPCZPY9F30C,qnli-microsoft-deberta-v3-large-lora_8-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-5,full_finetuning,microsoft/deberta-v3-large,requirements.txt,3.9,-1,1,qnli,01H7TSGPZXJ2NZ4MPATM1PCF61,,1.43,0.9542375983891634,0.21982966363430023,0.9542318920152136,0.9542375983891634,112.7028,5463,48.473,3.035,0,0,0,0,112.7263,5463,48.463,3.034,,01H7TSGPZZT36MAEDKJ52TYR9Y,qnli-microsoft-deberta-v3-large-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-5,full_finetuning,microsoft/deberta-v3-large,requirements.txt,3.9,-1,1,qnli,01H7TSGPZXJ2NZ4MPATM1PCF61,,,,,,,,,,,,,,,,,,,2023-08-14 20:25:33.678824 +0000 UTC,01H7TSGPZZT36MAEDKJ52TYR9Y,qnli-microsoft-deberta-v3-large-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-5,full_finetuning,microsoft/deberta-v3-large,requirements.txt,3.9,-1,1,qnli,01H7TSGPZXJ2NZ4MPATM1PCF61,,,,,,,,,,,,,,,,,,,2023-08-14 20:32:29.806574 +0000 UTC,01H7TSGPZZT36MAEDKJ52TYR9Y,qnli-microsoft-deberta-v3-large-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-5,full_finetuning,microsoft/deberta-v3-large,requirements.txt,3.9,-1,1,qnli,01H7TSGPZXJ2NZ4MPATM1PCF61,,,,,,,,,,,,,,,,,,,2023-08-14 21:09:14.884878 +0000 UTC,01H7TSGPZZT36MAEDKJ52TYR9Y,qnli-microsoft-deberta-v3-large-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-5,full_finetuning,microsoft/deberta-v3-large,requirements.txt,3.9,-1,1,qnli,01H7TSGPZXJ2NZ4MPATM1PCF61,,,,,,,,,,,,,,,,,,,2023-08-14 21:21:01.959747 +0000 UTC,01H7TSGPZZT36MAEDKJ52TYR9Y,qnli-microsoft-deberta-v3-large-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-5,full_finetuning,microsoft/deberta-v3-large,requirements.txt,3.9,-1,1,qnli,01H7TSGPZXJ2NZ4MPATM1PCF61,,,,,,,,,,,,,,,,,,,2023-08-14 21:28:01.29442 +0000 UTC,01H7TSGPZZT36MAEDKJ52TYR9Y,qnli-microsoft-deberta-v3-large-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,f407c300588a484e2d64d109513733f98410f7e3,1e-5,full_finetuning,microsoft/deberta-v3-large,requirements.txt,3.9,-1,1,qnli,01H7TSGPZXJ2NZ4MPATM1PCF61,,,,,,,,,,,,,,,,,,,2023-08-15 00:06:50.064033 +0000 UTC,01H7TSGPZZT36MAEDKJ52TYR9Y,qnli-microsoft-deberta-v3-large-full_finetuning-lr_1e-5-seed_1
