env_GANTRY_VERSION,env_GITHUB_REPO,env_GIT_REF,env_LEARNING_RATE,env_METHOD,env_MODEL,env_PIP_REQUIREMENTS_FILE,env_PYTHON_VERSION,env_RANK,env_SEED,env_TASK,experiment_id,experiment_name,metrics_epoch,metrics_eval_accuracy,metrics_eval_loss,metrics_eval_macro-f1,metrics_eval_micro-f1,metrics_eval_runtime,metrics_eval_samples,metrics_eval_samples_per_second,metrics_eval_steps_per_second,metrics_predict_accuracy,metrics_predict_loss,metrics_predict_macro-f1,metrics_predict_micro-f1,metrics_predict_runtime,metrics_predict_samples,metrics_predict_samples_per_second,metrics_predict_steps_per_second,task_canceled,task_id,task_name
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,1,sciq,01H9KWD4ZZPSJCMJHV5Y8GESE0,,12.84,0.718,0.9551471471786499,0.7166136227783444,0.718,7.8266,1000,127.769,15.971,0.729,0.8376778364181519,0.729386259627309,0.729,7.8084,1000,128.067,16.008,,01H9KWD5014A18QBB63E5TCPZS,sciq-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,2,sciq,01H9KWD7Y0H1QRBPBECHPNXDQD,,12.84,0.718,0.9551471471786499,0.7166136227783444,0.718,7.7349,1000,129.285,16.161,0.729,0.8376778364181519,0.729386259627309,0.729,7.7922,1000,128.333,16.042,,01H9KWD7Y2SZTXWQ1J9BS9FK3M,sciq-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-5,full_finetuning,microsoft/deberta-v3-xsmall,requirements.txt,3.9,-1,3,sciq,01H9KWDAXG5Q9XRWHNNBGF5CAR,,12.84,0.718,0.9551471471786499,0.7166136227783444,0.718,7.8003,1000,128.2,16.025,0.729,0.8376778364181519,0.729386259627309,0.729,7.7427,1000,129.153,16.144,,01H9KWDAXJVTJDWWBHJDK6AFVX,sciq-microsoft-deberta-v3-xsmall-full_finetuning-lr_1e-5-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,1,sciq,01H9MFZ9JJ5JTCWSTVK6E5SP29,,12.84,0.557,1.0470324754714966,0.5466333602758956,0.557,11.9904,1000,83.4,10.425,0.568,0.9868781566619873,0.5632836257563307,0.568,11.6814,1000,85.606,10.701,,01H9MFZ9JNEDFDFV93FYRE2BQE,sciq-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,2,sciq,01H9MFZEP913605TRCCCMT9S2P,,12.84,0.592,1.0065889358520508,0.5796153728096062,0.592,7.2056,1000,138.781,17.348,0.611,0.9493882656097412,0.6045861734398638,0.611,7.2032,1000,138.827,17.353,,01H9MFZEPBJTBEXF9Q0VNX5H32,sciq-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,16,3,sciq,01H9MFZFG38NPBTMZVYESARY65,,12.84,0.58,1.0646564960479736,0.5724944589915659,0.58,8.6533,1000,115.562,14.445,0.579,1.0157731771469116,0.575692303913162,0.579,8.9922,1000,111.208,13.901,,01H9MFZFG57J6ZBVE00WZF4PM8,sciq-microsoft-deberta-v3-xsmall-lora_16-lr_1e-4-seed_3
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,1,sciq,01H9MHT2AVVZM0CWGNFG02MXCJ,,12.84,0.637,0.9360317587852478,0.6335354319829817,0.637,8.9564,1000,111.652,13.957,0.644,0.869458019733429,0.6403993798814918,0.644,8.9355,1000,111.913,13.989,,01H9MHT2AXFNVD4VAT9FAY8NG0,sciq-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,2,1,sciq,01H9MHT5959WZMFFAYCGNM97VQ,,12.84,0.552,1.0703530311584473,0.5395314084297808,0.552,8.5081,1000,117.534,14.692,0.557,1.030500054359436,0.5529497421440064,0.557,8.5359,1000,117.152,14.644,,01H9MHT597FX4ESRC9AX3AF8BF,sciq-microsoft-deberta-v3-xsmall-lora_2-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,4,1,sciq,01H9MHT895TNTM81EC1YH7R3X7,,12.84,0.622,0.9824798107147217,0.6172861855852408,0.622,8.3706,1000,119.465,14.933,0.644,0.9149942994117737,0.6427561957976976,0.644,8.4163,1000,118.817,14.852,,01H9MHT8989ZGMB155FN4C5J9N,sciq-microsoft-deberta-v3-xsmall-lora_4-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,32,1,sciq,01H9MHTB7FA5CMB8JP7MN1HE1P,,12.84,0.612,1.0002071857452393,0.6004367184624637,0.612,8.3886,1000,119.21,14.901,0.618,0.9546233415603638,0.6069457713856273,0.618,8.4251,1000,118.694,14.837,,01H9MHTB7HAXKKJ4VGJD9RE7TD,sciq-microsoft-deberta-v3-xsmall-lora_32-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,64,1,sciq,01H9MHTE6DP70SC9W1ZDTPE1M9,,12.84,0.605,1.0014212131500244,0.5951132519075545,0.605,8.5388,1000,117.112,14.639,0.608,0.9453145861625671,0.6030239559753572,0.608,8.512,1000,117.481,14.685,,01H9MHTE6FX61HSV2G139J872P,sciq-microsoft-deberta-v3-xsmall-lora_64-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,3843,1,sciq,01H9MHTH4WSN6Q3AP4YXBZWMYA,,12.84,0.559,1.046661376953125,0.5439337183376378,0.559,12.4374,1000,80.403,10.05,0.554,0.9831200242042542,0.5438124918926643,0.554,12.4241,1000,80.489,10.061,,01H9MHTH4YZEY24SD9JAE6CKK0,sciq-microsoft-deberta-v3-xsmall-lora_3843-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,769,1,sciq,01H9MHTM3NQMNVN45DJTCESJVZ,,12.84,0.547,1.058545708656311,0.5263276945205843,0.547,10.3015,1000,97.073,12.134,0.555,1.0211867094039917,0.5437034573387115,0.555,9.7731,1000,102.322,12.79,,01H9MHTM3RTE5Y6KETC28BTPS5,sciq-microsoft-deberta-v3-xsmall-lora_769-lr_1e-4-seed_1
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1,2,sciq,01H9MHTT1QKXXX8GMP7J70HB7B,,12.84,0.635,0.942391574382782,0.6355256166812527,0.635,11.1795,1000,89.449,11.181,0.635,0.8959054350852966,0.635083177160688,0.635,11.1256,1000,89.883,11.235,,01H9MHTT1T7QHVXNXNE147JK79,sciq-microsoft-deberta-v3-xsmall-lora_1-lr_1e-4-seed_2
0.17.0,jacob-morrison/lora-investigation,205737497bdfb50b192ec15c75439d0b52d0ff40,1e-4,LoRA,microsoft/deberta-v3-xsmall,requirements.txt,3.9,1538,1,sciq,01H9MHTVZ4X9MPJ1XDBNTZF6V8,,,,,,,,,,,,,,,,,,,2023-09-06 14:42:13.638239 +0000 UTC,01H9MHTVZ6DJA0YHVEBBX1XPYB,sciq-microsoft-deberta-v3-xsmall-lora_1538-lr_1e-4-seed_1
